,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,air_quality_index,pollution_level,weekday,season
12443,12444,2014,8,1,11,169,169,2,35,1000,102,28,1001.4,25.4,0,NE,1,Aotizhongxin,118.75,Unhealthy,Weekday,Summer
12444,12445,2014,8,1,12,153,153,2,27,1000,139,31.2,1000.7,25.1,0,NE,0,Aotizhongxin,118,Unhealthy,Weekday,Summer
12445,12446,2014,8,1,13,161,161,2,29,1000,163,31.5,999.9,23.3,0,SW,1,Aotizhongxin,128.5,Unhealthy,Weekday,Summer
12446,12447,2014,8,1,14,159,159,2,27,1000,197,32.5,999.1,23.5,0,SW,1,Aotizhongxin,135.5,Unhealthy,Weekday,Summer
12447,12448,2014,8,1,15,136,136,2,25,900,217,32.1,998.9,23.9,0,SW,1,Aotizhongxin,128.5,Unhealthy,Weekday,Summer
12448,12449,2014,8,1,16,123,123,2,27,800,193,32.1,998.9,24.2,0,S,0,Aotizhongxin,116.5,Unhealthy,Weekday,Summer
12449,12450,2014,8,1,17,121,121,2,27,700,191,31.7,998.6,23.8,0,SW,1,Aotizhongxin,115,Unhealthy,Weekday,Summer
12450,12451,2014,8,1,18,122,122,2,27,700,191,30.3,998.7,24.5,0,SW,1,Aotizhongxin,115.5,Unhealthy,Weekday,Summer
12451,12452,2014,8,1,19,145,145,2,48,800,143,29.4,999.2,24.5,0,SW,0,Aotizhongxin,120.25,Unhealthy,Weekday,Summer
12452,12453,2014,8,1,20,152,152,2,58,900,124,29.3,1000,25.1,0,SW,1,Aotizhongxin,121.5,Unhealthy,Weekday,Summer
12453,12454,2014,8,1,21,163,163,2,47,1000,128,28.3,999.9,24.9,0,SW,1,Aotizhongxin,125.25,Unhealthy,Weekday,Summer
12454,12455,2014,8,1,22,168,168,2,58,1200,104,27.7,999.9,25.7,0,NW,0,Aotizhongxin,124.5,Unhealthy,Weekday,Summer
12455,12456,2014,8,1,23,162,162,2,45,1100,97,26.3,999.8,25.4,0,S,0,Aotizhongxin,116.5,Unhealthy,Weekday,Summer
12456,12457,2014,8,2,0,140,140,2,52,900,63,25.7,999.4,25.4,0,SE,0,Aotizhongxin,98.75,Moderate,Weekday,Summer
12457,12458,2014,8,2,1,121,121,2,66,800,28,25.6,999.1,25.4,0,SE,0,Aotizhongxin,84,Moderate,Weekday,Summer
12458,12459,2014,8,2,2,114,114,2,71,800,6,25.4,999,25.4,0,NW,0,Aotizhongxin,76.25,Moderate,Weekday,Summer
12459,12460,2014,8,2,3,112,112,2,70,800,3,25.5,999.1,25.5,0,N,0,Aotizhongxin,74.25,Moderate,Weekday,Summer
12460,12461,2014,8,2,4,100,100,2,82,900,2,25.8,999.5,25.5,0,NE,0,Aotizhongxin,71,Moderate,Weekday,Summer
12461,12462,2014,8,2,5,95,95,2,72,900,2,25.8,999.4,25.3,0,E,0,Aotizhongxin,66,Moderate,Weekday,Summer
12462,12463,2014,8,2,6,87,87,2,61,800,2,26.3,999.3,25.8,0,NE,0,Aotizhongxin,59.25,Moderate,Weekday,Summer
12463,12464,2014,8,2,7,78,78,2,54,600,2,27,999,25.8,0,N,1,Aotizhongxin,53,Moderate,Weekday,Summer
12464,12465,2014,8,2,8,76,76,2,53,700,2,28.4,999,26,0,NE,1,Aotizhongxin,51.75,Moderate,Weekday,Summer
12465,12466,2014,8,2,9,90,90,2,60,800,2,29.6,998.4,26.2,0,NE,1,Aotizhongxin,60.5,Moderate,Weekday,Summer
12466,12467,2014,8,2,10,106,106,2,60,800,12,31.2,997.9,26.2,0,NE,1,Aotizhongxin,71,Moderate,Weekday,Summer
12467,12468,2014,8,2,11,126,126,2,60,900,43,32.7,997.2,25.8,0,NE,0,Aotizhongxin,88.75,Moderate,Weekday,Summer
12468,12469,2014,8,2,12,138,138,2,56,900,83,33.4,996.4,24.8,0,SW,0,Aotizhongxin,103.75,Unhealthy,Weekday,Summer
12469,12470,2014,8,2,13,146,146,2,53,1000,130,34.5,995.9,24.4,0,S,1,Aotizhongxin,118.75,Unhealthy,Weekday,Summer
12470,12471,2014,8,2,14,158,158,2,45,1000,199,34.9,995.1,23.9,0,SW,2,Aotizhongxin,140,Unhealthy,Weekday,Summer
12471,12472,2014,8,2,15,158,158,2,39,900,258,34.6,994.8,24.2,0,SW,2,Aotizhongxin,153.25,Unhealthy,Weekday,Summer
12472,12473,2014,8,2,16,142,142,2,35,800,267,33.2,994.8,23.8,0,SW,1,Aotizhongxin,146.5,Unhealthy,Weekday,Summer
12473,12474,2014,8,2,17,126,126,2,34,700,228,32.4,994.7,25.2,0,SW,1,Aotizhongxin,128.5,Unhealthy,Weekday,Summer
12474,12475,2014,8,2,18,109,109,2,38,600,172,31.5,995.1,25.4,0,W,1,Aotizhongxin,107,Unhealthy,Weekday,Summer
12475,12476,2014,8,2,19,119,119,2,37,700,159,31.1,995.5,25.5,0,SW,1,Aotizhongxin,108.5,Unhealthy,Weekday,Summer
12476,12477,2014,8,2,20,131,131,2,34,700,150,29.3,996,25.9,0,SW,0,Aotizhongxin,111.5,Unhealthy,Weekday,Summer
12477,12478,2014,8,2,21,140,140,2,36,800,127,28.3,995.9,26.3,0,NW,0,Aotizhongxin,110.75,Unhealthy,Weekday,Summer
12478,12479,2014,8,2,22,140,140,2,42,800,109,27.6,995.9,26.5,0,W,0,Aotizhongxin,107.75,Unhealthy,Weekday,Summer
12479,12480,2014,8,2,23,141,141,2,40,900,89,27.2,996.1,25.8,0,NE,1,Aotizhongxin,102.75,Unhealthy,Weekday,Summer
12480,12481,2014,8,3,0,142,142,2,61,900,49,27.8,995.6,26,0,NE,1,Aotizhongxin,98.5,Moderate,Weekday,Summer
12481,12482,2014,8,3,1,159,159,2,112,1100,10,27.1,995.1,25.9,0,E,0,Aotizhongxin,110,Unhealthy,Weekday,Summer
12482,12483,2014,8,3,2,190,190,4,93,1100,13,26.6,995.1,25.9,0,NE,0,Aotizhongxin,121.5,Unhealthy,Weekday,Summer
12483,12484,2014,8,3,3,188,188,4,57,800,44,26.2,995.2,25.9,0,E,0,Aotizhongxin,119.25,Unhealthy,Weekday,Summer
12484,12485,2014,8,3,4,173,173,4,29,800,90,26,995.5,26,0,N,0,Aotizhongxin,116.25,Unhealthy,Weekday,Summer
12485,12486,2014,8,3,5,171,171,3,35,800,89,26,995.9,26,0,NE,0,Aotizhongxin,116.5,Unhealthy,Weekday,Summer
12486,12487,2014,8,3,6,162,162,2,44,800,84,26.9,996,26.4,0,NE,0,Aotizhongxin,113,Unhealthy,Weekday,Summer
12487,12488,2014,8,3,7,138,138,2,41,700,79,28.5,996,25.9,0,NE,1,Aotizhongxin,99,Moderate,Weekday,Summer
12488,12489,2014,8,3,8,127,127,2,51,800,71,30.5,996,26.2,0,NE,1,Aotizhongxin,94,Moderate,Weekday,Summer
12489,12490,2014,8,3,9,108,108,2,36,700,92,32,995.7,25.8,0,NW,0,Aotizhongxin,86,Moderate,Weekday,Summer
12490,12491,2014,8,3,10,107,107,2,29,700,116,33.4,995.4,26.4,0,SW,0,Aotizhongxin,89.75,Moderate,Weekday,Summer
12491,12492,2014,8,3,11,101,101,2,33,700,133,34.4,994.9,24.9,0,NE,1,Aotizhongxin,92,Moderate,Weekday,Summer
12492,12493,2014,8,3,12,106,106,2,27,700,183,33.9,994.3,25.6,0,NE,1,Aotizhongxin,105.5,Unhealthy,Weekday,Summer
12493,12494,2014,8,3,13,100,100,3,23,700,220,32.4,994,26.2,0,N,2,Aotizhongxin,110.75,Unhealthy,Weekday,Summer
12494,12495,2014,8,3,14,97,97,2,26,700,228,31.5,994.2,26.5,0,W,1,Aotizhongxin,112,Unhealthy,Weekday,Summer
12495,12496,2014,8,3,15,98,98,2,32,700,205,30.7,994.4,25.3,0,SW,1,Aotizhongxin,108.25,Unhealthy,Weekday,Summer
12496,12497,2014,8,3,16,129,129,2,43,800,173,30.7,993.7,24.6,0,NW,0,Aotizhongxin,118.5,Unhealthy,Weekday,Summer
12497,12498,2014,8,3,17,105,105,2,51,700,147,30,993.8,23.7,0,NE,1,Aotizhongxin,102,Unhealthy,Weekday,Summer
12498,12499,2014,8,3,18,79,79,2,42,600,129,30,994.5,25.5,0,W,0,Aotizhongxin,82.25,Moderate,Weekday,Summer
12499,12500,2014,8,3,19,90,90,2,45,800,137,28.6,995.1,25.8,0,NE,0,Aotizhongxin,90.5,Moderate,Weekday,Summer
12500,12501,2014,8,3,20,74,74,2,58,800,114,28,995.7,25.6,0,NE,1,Aotizhongxin,80,Moderate,Weekday,Summer
12501,12502,2014,8,3,21,70,70,2,70,800,74,28.2,996,25.2,0,NE,0,Aotizhongxin,71,Moderate,Weekday,Summer
12502,12503,2014,8,3,22,70,70,2,74,700,69,28.1,995.7,25.1,0,NE,0,Aotizhongxin,70.75,Moderate,Weekday,Summer
12503,12504,2014,8,3,23,70,70,2,52,700,74,27.6,995.7,25.6,0,SW,0,Aotizhongxin,66.5,Moderate,Weekday,Summer
12504,12505,2014,8,4,0,80,80,2,66,800,48,27.3,995.4,24.9,0,NE,0,Aotizhongxin,68.5,Moderate,Weekday,Summer
12505,12506,2014,8,4,1,79,79,2,100,900,4,26.8,995.3,25,0,NE,0,Aotizhongxin,65.5,Moderate,Weekday,Summer
12506,12507,2014,8,4,2,90,90,2,106,800,2,26.3,995.5,25.1,0,NE,0,Aotizhongxin,72,Moderate,Weekday,Summer
12507,12508,2014,8,4,3,93,93,2,80,900,7,25.9,995.6,25.4,0,NE,0,Aotizhongxin,68.25,Moderate,Weekday,Summer
12508,12509,2014,8,4,4,97,97,2,79,900,8,25.7,995.5,25.2,0,NE,1,Aotizhongxin,70.25,Moderate,Weekday,Summer
12509,12510,2014,8,4,5,104,104,2,81,900,3,25.6,995.9,24.9,0,NE,1,Aotizhongxin,73,Moderate,Weekday,Summer
12510,12511,2014,8,4,6,108,108,2,72,700,2,26.1,996.5,23.4,0,NE,1,Aotizhongxin,72.5,Moderate,Weekday,Summer
12511,12512,2014,8,4,7,59,59,2,67,600,5,27.1,997,23.1,0,NE,1,Aotizhongxin,47.5,Good,Weekday,Summer
12512,12513,2014,8,4,8,54,54,2,67,700,10,27,997.8,21.5,0,NE,2,Aotizhongxin,46.25,Good,Weekday,Summer
12513,12514,2014,8,4,9,28,28,2,35,300,40,26.7,998.5,21.2,0,NE,1,Aotizhongxin,32.75,Good,Weekday,Summer
12514,12515,2014,8,4,10,14,14,2,29,200,48,24,999.3,22.4,6,SE,1,Aotizhongxin,26.25,Good,Weekday,Summer
12515,12516,2014,8,4,11,11,11,2,27,200,52,23,999.8,22.3,3,NE,2,Aotizhongxin,25.25,Good,Weekday,Summer
12516,12517,2014,8,4,12,8,8,2,27,200,49,22.3,1000.2,21.8,0,E,0,Aotizhongxin,23,Good,Weekday,Summer
12517,12518,2014,8,4,13,6,6,2,27,200,44,21.5,1000.6,20.8,0,NE,2,Aotizhongxin,20.75,Good,Weekday,Summer
12518,12519,2014,8,4,14,6,6,2,25,200,44,21.2,1000.5,21,1,NE,0,Aotizhongxin,20.25,Good,Weekday,Summer
12519,12520,2014,8,4,15,3,3,2,25,100,46,21.7,1000.3,21.4,0,NE,1,Aotizhongxin,19.25,Good,Weekday,Summer
12520,12521,2014,8,4,16,3,3,2,33,200,33,22.4,1000.2,21.7,0,NE,0,Aotizhongxin,18,Good,Weekday,Summer
12521,12522,2014,8,4,17,10,10,2,41,300,31,22.3,1000.5,22,0,NE,0,Aotizhongxin,23,Good,Weekday,Summer
12522,12523,2014,8,4,18,11,11,2,34,700,37,22.5,1000.8,21.5,0,SE,0,Aotizhongxin,23.25,Good,Weekday,Summer
12523,12524,2014,8,4,19,10,10,2,35,400,35,21.9,1000.9,21.1,0,NE,0,Aotizhongxin,22.5,Good,Weekday,Summer
12524,12525,2014,8,4,20,14,14,2,48,300,21,21.3,1001.1,20.6,0,NE,0,Aotizhongxin,24.25,Good,Weekday,Summer
12525,12526,2014,8,4,21,15,15,2,43,300,28,20.5,1001.2,20.3,0,N,0,Aotizhongxin,25.25,Good,Weekday,Summer
12526,12527,2014,8,4,22,10,10,2,36,300,34,20.3,1000.6,20.3,0,NE,0,Aotizhongxin,22.5,Good,Weekday,Summer
12527,12528,2014,8,4,23,10,10,2,39,200,27,20.3,1000.9,20.3,0,NE,0,Aotizhongxin,21.5,Good,Weekday,Summer
12528,12529,2014,8,5,0,10,10,2,43,300,20,20.5,1001.1,20.5,0,NE,0,Aotizhongxin,20.75,Good,Weekday,Summer
12529,12530,2014,8,5,1,14,14,2,61,300,2,20,1001.2,20,0,NE,0,Aotizhongxin,22.75,Good,Weekday,Summer
12530,12531,2014,8,5,2,13,13,4,41,200,12,20.3,1001.2,20.3,0,SW,0,Aotizhongxin,19.75,Good,Weekday,Summer
12531,12532,2014,8,5,3,11,11,2,35,100,9,19.9,1001.2,19.9,0,NW,0,Aotizhongxin,16.5,Good,Weekday,Summer
12532,12533,2014,8,5,4,14,14,2,42,100,4,19.5,1001.1,19.5,0,NW,0,Aotizhongxin,18.5,Good,Weekday,Summer
12533,12534,2014,8,5,5,15,15,2,42,200,2,19.6,1001.7,19.6,0,N,0,Aotizhongxin,18.5,Good,Weekday,Summer
12534,12535,2014,8,5,6,12,12,2,49,200,2,20.5,1002.1,20.5,0,NW,0,Aotizhongxin,18.75,Good,Weekday,Summer
12535,12536,2014,8,5,7,19,19,2,46,200,2,21.2,1002.3,21,0,E,0,Aotizhongxin,21.5,Good,Weekday,Summer
12536,12537,2014,8,5,8,17,17,2,41,300,2,23.3,1002.3,21.4,0,N,0,Aotizhongxin,19.25,Good,Weekday,Summer
12537,12538,2014,8,5,9,20,20,3,43,300,7,26.1,1002.4,20.4,0,W,0,Aotizhongxin,22.5,Good,Weekday,Summer
12538,12539,2014,8,5,10,28,28,3,37,400,19,28.1,1002,19.6,0,SE,0,Aotizhongxin,28,Good,Weekday,Summer
12539,12540,2014,8,5,11,35,35,6,42,500,29,28.9,1001.2,20.4,0,SW,0,Aotizhongxin,35.25,Good,Weekday,Summer
12540,12541,2014,8,5,12,43,43,8,51,600,52,31.7,1000.5,17.6,0,W,0,Aotizhongxin,47.25,Good,Weekday,Summer
12541,12542,2014,8,5,13,40,40,11,41,600,85,32.5,1000,16.8,0,NW,1,Aotizhongxin,51.5,Moderate,Weekday,Summer
12542,12543,2014,8,5,14,32,32,12,29,400,105,32.5,999.3,15.5,0,W,2,Aotizhongxin,49.5,Good,Weekday,Summer
12543,12544,2014,8,5,15,27,27,7,27,400,121,30.3,999.5,21.1,0,W,3,Aotizhongxin,50.5,Moderate,Weekday,Summer
12544,12545,2014,8,5,16,22,22,8,30,400,132,29.3,999.7,21,0,SW,1,Aotizhongxin,51.5,Moderate,Weekday,Summer
12545,12546,2014,8,5,17,51,51,3,52,500,178,28.3,999.6,21.1,0,SW,2,Aotizhongxin,83,Moderate,Weekday,Summer
12546,12547,2014,8,5,18,36,36,3,41,300,131,27.6,999.7,19.4,0,SW,3,Aotizhongxin,61,Moderate,Weekday,Summer
12547,12548,2014,8,5,19,33,33,2,43,300,99,27,1000.4,20.3,0,SW,1,Aotizhongxin,52,Moderate,Weekday,Summer
12548,12549,2014,8,5,20,26,26,4,43,300,78,26.7,1000.8,21.7,0,SW,1,Aotizhongxin,43.25,Good,Weekday,Summer
12549,12550,2014,8,5,21,34,34,4,53,400,54,25.7,1000.6,22.4,0,SW,0,Aotizhongxin,43.75,Good,Weekday,Summer
12550,12551,2014,8,5,22,41,41,3,60,400,43,24.8,1000.6,22.9,0,SE,0,Aotizhongxin,46.25,Good,Weekday,Summer
12551,12552,2014,8,5,23,38,38,2,62,400,30,24.2,1001,22.8,0,NE,0,Aotizhongxin,42,Good,Weekday,Summer
12552,12553,2014,8,6,0,40,40,2,74,500,21,23.6,1000.9,22.8,0,SE,0,Aotizhongxin,43.75,Good,Weekend,Summer
12553,12554,2014,8,6,1,41,41,2,84,500,2,23.3,1001,22.1,0,NE,1,Aotizhongxin,42,Good,Weekend,Summer
12554,12555,2014,8,6,2,45,45,2,94,500,2,23.1,1001.3,21.7,0,NE,0,Aotizhongxin,46.5,Good,Weekend,Summer
12555,12556,2014,8,6,3,57,57,3,99,700,2,22.1,1001,21.6,0,NE,0,Aotizhongxin,53.75,Moderate,Weekend,Summer
12556,12557,2014,8,6,4,65,65,3,94,700,2,21.7,1001.7,21.5,0,N,0,Aotizhongxin,56.5,Moderate,Weekend,Summer
12557,12558,2014,8,6,5,71,71,3,91,700,2,21.7,1002.1,21.7,0,N,0,Aotizhongxin,58.75,Moderate,Weekend,Summer
12558,12559,2014,8,6,6,73,73,4,89,700,2,22.6,1002.3,22.6,0,NE,0,Aotizhongxin,59.25,Moderate,Weekend,Summer
12559,12560,2014,8,6,7,77,77,3,95,700,2,26,1002.3,20.3,0,NE,1,Aotizhongxin,62.75,Moderate,Weekend,Summer
12560,12561,2014,8,6,8,77,77,2,72,500,21,29.6,1002.2,17.1,0,NE,2,Aotizhongxin,61.75,Moderate,Weekend,Summer
12561,12562,2014,8,6,9,49,49,3,58,500,36,31.4,1002.4,13.2,0,NE,1,Aotizhongxin,48,Good,Weekend,Summer
12562,12563,2014,8,6,10,33,33,5,50,400,53,33.4,1001.9,14,0,E,1,Aotizhongxin,42.25,Good,Weekend,Summer
12563,12564,2014,8,6,11,27,27,4,39,300,90,33.9,1001.5,10.5,0,E,2,Aotizhongxin,45.75,Good,Weekend,Summer
12564,12565,2014,8,6,12,22,22,3,22,300,110,34.4,1001,10.9,0,NE,1,Aotizhongxin,44,Good,Weekend,Summer
12565,12566,2014,8,6,13,14,14,2,15,200,86,33.6,1000.3,13.6,0,SE,1,Aotizhongxin,32.25,Good,Weekend,Summer
12566,12567,2014,8,6,14,5,5,2,13,200,83,34,999.9,12.4,0,E,1,Aotizhongxin,26.5,Good,Weekend,Summer
12567,12568,2014,8,6,15,3,3,2,15,300,85,33.5,1000,11.9,0,E,1,Aotizhongxin,26.5,Good,Weekend,Summer
12568,12569,2014,8,6,16,3,3,3,19,200,87,34.1,1000.5,13,0,NE,0,Aotizhongxin,28,Good,Weekend,Summer
12569,12570,2014,8,6,17,6,6,2,26,200,76,31.8,1000.5,15.3,0,SW,3,Aotizhongxin,28.5,Good,Weekend,Summer
12570,12571,2014,8,6,18,15,15,3,29,200,79,29.4,1000.9,15.9,0,W,1,Aotizhongxin,34.5,Good,Weekend,Summer
12571,12572,2014,8,6,19,18,18,3,38,200,102,26.3,1001.6,18.2,0,SW,0,Aotizhongxin,44,Good,Weekend,Summer
12572,12573,2014,8,6,20,20,20,3,49,300,111,24.3,1002.1,18.7,0,W,0,Aotizhongxin,50,Good,Weekend,Summer
12573,12574,2014,8,6,21,30,30,3,48,300,123,23.1,1002.4,19.3,0,SE,0,Aotizhongxin,57.75,Moderate,Weekend,Summer
12574,12575,2014,8,6,22,39,39,3,95,500,65,22.7,1002.8,20.4,0,NW,0,Aotizhongxin,59.5,Moderate,Weekend,Summer
12575,12576,2014,8,6,23,60,60,2,132,800,17,21.9,1003.4,17.7,0,NE,0,Aotizhongxin,67.25,Moderate,Weekend,Summer
12576,12577,2014,8,7,0,82,82,2,110,1200,24,23.3,1003.3,18,0,NE,1,Aotizhongxin,74.5,Moderate,Weekend,Summer
12577,12578,2014,8,7,1,128,128,3,107,1600,16,23,1003.3,20,0,NE,1,Aotizhongxin,94.75,Moderate,Weekend,Summer
12578,12579,2014,8,7,2,131,131,4,87,1500,7,22.1,1003.7,19.5,0,NE,1,Aotizhongxin,89,Moderate,Weekend,Summer
12579,12580,2014,8,7,3,111,111,3,79,900,2,21.8,1003.7,19,0,NE,0,Aotizhongxin,75.75,Moderate,Weekend,Summer
12580,12581,2014,8,7,4,95,95,5,68,800,20,21.8,1004.2,19.2,0,NE,0,Aotizhongxin,69.5,Moderate,Weekend,Summer
12581,12582,2014,8,7,5,87,87,4,76,900,8,21.7,1004.7,19.3,0,NE,0,Aotizhongxin,64.5,Moderate,Weekend,Summer
12582,12583,2014,8,7,6,106,106,2,86,1000,2,22.6,1004.6,18.4,0,NE,1,Aotizhongxin,75,Moderate,Weekend,Summer
12583,12584,2014,8,7,7,81,81,4,93,900,2,24.7,1004.8,19.1,0,NE,1,Aotizhongxin,64.25,Moderate,Weekend,Summer
12584,12585,2014,8,7,8,66,66,5,89,700,11,27.2,1004.7,20.3,0,NE,1,Aotizhongxin,58,Moderate,Weekend,Summer
12585,12586,2014,8,7,9,76,76,4,81,800,35,29,1004.7,19.3,0,NE,0,Aotizhongxin,67,Moderate,Weekend,Summer
12586,12587,2014,8,7,10,93,93,5,61,1100,79,30.1,1004.3,18.5,0,SW,2,Aotizhongxin,81.5,Moderate,Weekend,Summer
12587,12588,2014,8,7,11,76,76,13,48,1400,125,31.2,1003.6,17.1,0,W,2,Aotizhongxin,81.25,Moderate,Weekend,Summer
12588,12589,2014,8,7,12,62,62,15,37,1400,164,32.6,1002.9,16.4,0,SW,1,Aotizhongxin,81.25,Moderate,Weekend,Summer
12589,12590,2014,8,7,13,60,60,13,34,1300,195,32.8,1002,15.3,0,NE,1,Aotizhongxin,87.25,Moderate,Weekend,Summer
12590,12591,2014,8,7,14,55,55,14,30,1000,211,32.6,1001.7,16.8,0,SW,2,Aotizhongxin,87.75,Moderate,Weekend,Summer
12591,12592,2014,8,7,15,54,54,13,45,900,218,32.6,1001.2,16,0,SW,2,Aotizhongxin,92.75,Moderate,Weekend,Summer
12592,12593,2014,8,7,16,50,50,11,28,800,227,31.9,1000.9,16.6,0,SW,2,Aotizhongxin,88.75,Moderate,Weekend,Summer
12593,12594,2014,8,7,17,49,49,11,31,900,214,31.2,1001.4,17.5,0,SW,2,Aotizhongxin,85.75,Moderate,Weekend,Summer
12594,12595,2014,8,7,18,52,52,11,34,900,203,29.9,1001.9,16.7,0,SW,1,Aotizhongxin,85.25,Moderate,Weekend,Summer
12595,12596,2014,8,7,19,43,43,9,33,800,182,27.9,1002.3,18,0,SW,2,Aotizhongxin,75.25,Moderate,Weekend,Summer
12596,12597,2014,8,7,20,69,69,9,38,1400,220,27.3,1003.1,19.4,0,SW,1,Aotizhongxin,99,Moderate,Weekend,Summer
12597,12598,2014,8,7,21,98,98,9,53,1700,201,27.4,1003.4,20,0,SW,1,Aotizhongxin,112.5,Unhealthy,Weekend,Summer
12598,12599,2014,8,7,22,77,77,8,66,1300,118,27.4,1003.4,18.1,0,SW,2,Aotizhongxin,84.5,Moderate,Weekend,Summer
12599,12600,2014,8,7,23,65,65,5,49,800,102,26.3,1003.3,18.4,0,SW,1,Aotizhongxin,70.25,Moderate,Weekend,Summer
12600,12601,2014,8,8,0,50,50,5,43,600,88,25.2,1003.3,18.2,0,SW,1,Aotizhongxin,57.75,Moderate,Weekday,Summer
12601,12602,2014,8,8,1,49,49,5,47,500,75,23.5,1003.2,18.6,0,SW,1,Aotizhongxin,55,Moderate,Weekday,Summer
12602,12603,2014,8,8,2,51,51,5,48,500,64,22.1,1003.3,19.5,0,SW,0,Aotizhongxin,53.5,Moderate,Weekday,Summer
12603,12604,2014,8,8,3,54,54,4,53,600,50,21.3,1003.6,20.1,0,NE,0,Aotizhongxin,52.75,Moderate,Weekday,Summer
12604,12605,2014,8,8,4,58,58,3,55,800,43,21,1003.8,19.3,0,NE,0,Aotizhongxin,53.5,Moderate,Weekday,Summer
12605,12606,2014,8,8,5,55,55,2,47,1000,43,21.8,1004,19.7,0,NE,1,Aotizhongxin,50,Good,Weekday,Summer
12606,12607,2014,8,8,6,67,67,2,86,1200,4,22.9,1004.3,19.9,0,NE,1,Aotizhongxin,56,Moderate,Weekday,Summer
12607,12608,2014,8,8,7,85,85,4,97,1400,2,24.4,1004.2,19.9,0,NE,1,Aotizhongxin,67.25,Moderate,Weekday,Summer
12608,12609,2014,8,8,8,101,101,4,100,1400,2,26.4,1004.2,20,0,SE,1,Aotizhongxin,76,Moderate,Weekday,Summer
12609,12610,2014,8,8,9,106,106,5,100,1400,13,28.5,1004.1,19.2,0,N,0,Aotizhongxin,81.25,Moderate,Weekday,Summer
12610,12611,2014,8,8,10,96,96,7,81,1300,55,29.8,1003.6,19.5,0,NW,0,Aotizhongxin,82,Moderate,Weekday,Summer
12611,12612,2014,8,8,11,103,103,7,91,1300,72,31,1002.8,18.4,0,SW,1,Aotizhongxin,92.25,Moderate,Weekday,Summer
12612,12613,2014,8,8,12,98,98,8,74,1200,120,31.8,1002.3,17.3,0,SW,2,Aotizhongxin,97.5,Moderate,Weekday,Summer
12613,12614,2014,8,8,13,73,73,9,37,800,189,31.8,1002,17.3,0,SW,1,Aotizhongxin,93,Moderate,Weekday,Summer
12614,12615,2014,8,8,14,57,57,8,20,700,206,31,1001.3,15.4,0,SW,3,Aotizhongxin,85,Moderate,Weekday,Summer
12615,12616,2014,8,8,15,55,55,8,22,700,187,30.9,1000.9,16.5,0,SW,2,Aotizhongxin,79.75,Moderate,Weekday,Summer
12616,12617,2014,8,8,16,43,43,6,27,900,165,30.3,1000.7,14.8,0,SW,2,Aotizhongxin,69.5,Moderate,Weekday,Summer
12617,12618,2014,8,8,17,49,49,6,35,1000,175,29.7,1000.7,14.7,0,SW,3,Aotizhongxin,77,Moderate,Weekday,Summer
12618,12619,2014,8,8,18,54,54,8,34,1000,182,28.6,1001,16.2,0,SW,2,Aotizhongxin,81,Moderate,Weekday,Summer
12619,12620,2014,8,8,19,70,70,10,39,1500,224,27.1,1001,15.1,0,SW,1,Aotizhongxin,100.75,Unhealthy,Weekday,Summer
12620,12621,2014,8,8,20,67,67,9,40,1000,176,27,1001.5,16,0,SW,1,Aotizhongxin,87.5,Moderate,Weekday,Summer
12621,12622,2014,8,8,21,60,60,8,36,700,141,26.7,1001.8,16.6,0,SW,1,Aotizhongxin,74.25,Moderate,Weekday,Summer
12622,12623,2014,8,8,22,62,62,8,42,800,123,26,1001.8,17.6,0,SW,0,Aotizhongxin,72.25,Moderate,Weekday,Summer
12623,12624,2014,8,8,23,64,64,7,45,800,100,25.5,1001.6,17.7,0,W,0,Aotizhongxin,68.25,Moderate,Weekday,Summer
12624,12625,2014,8,9,0,68,68,8,47,800,90,22.8,1001.4,19,0,SW,0,Aotizhongxin,68.25,Moderate,Weekday,Summer
12625,12626,2014,8,9,1,73,73,9,56,800,82,21.7,1001.3,20.2,0,SE,0,Aotizhongxin,71,Moderate,Weekday,Summer
12626,12627,2014,8,9,2,92,92,10,82,1000,42,21,1001.5,20.3,0,SE,0,Aotizhongxin,77,Moderate,Weekday,Summer
12627,12628,2014,8,9,3,99,99,8,56,1000,72,20.6,1001.5,19.9,0,SE,0,Aotizhongxin,81.5,Moderate,Weekday,Summer
12628,12629,2014,8,9,4,108,108,10,39,1000,87,20.8,1001.5,20,0,NE,1,Aotizhongxin,85.5,Moderate,Weekday,Summer
12629,12630,2014,8,9,5,109,109,6,36,1100,88,21.7,1002,19.3,0,SE,0,Aotizhongxin,85.5,Moderate,Weekday,Summer
12630,12631,2014,8,9,6,117,117,3,62,1100,51,22.8,1001.9,20,0,NE,1,Aotizhongxin,86.75,Moderate,Weekday,Summer
12631,12632,2014,8,9,7,125,125,3,115,1400,2,24.1,1001.9,20.2,0,NE,1,Aotizhongxin,91.75,Moderate,Weekday,Summer
12632,12633,2014,8,9,8,146,146,4,119,1500,2,26,1001.7,20.3,0,NE,1,Aotizhongxin,103.25,Unhealthy,Weekday,Summer
12633,12634,2014,8,9,9,177,177,3,112,1500,18,27.5,1001.8,20.8,0,E,0,Aotizhongxin,121,Unhealthy,Weekday,Summer
12634,12635,2014,8,9,10,164,164,5,81,1400,73,29,1001.2,21,0,SE,0,Aotizhongxin,120.5,Unhealthy,Weekday,Summer
